Nr;Name;MaxSchnellmeldungen;AnzSchnellmeldungen;Wahlberechtigte;abgegeben;Wahlbeteiligung;gültigeStimmzettel;gültig;ungültigeStimmzettel;ungültig;Ja;Ja_Proz;Nein;Nein_Proz;
010;Briefwahlbezirk 010;1;1;8311;2924;35,18;;2921;;3;1434;49,09;1487;50,91;
020;Briefwahlbezirk 020;1;1;7004;2454;35,04;;2443;;11;1377;56,37;1066;43,63;
030;Briefwahlbezirk 030;1;1;8145;3053;37,48;;3046;;7;2127;69,83;919;30,17;
040;Briefwahlbezirk 040;1;1;8002;3307;41,33;;3301;;6;1518;45,99;1783;54,01;
050;Briefwahlbezirk 050;1;1;7215;2044;28,33;;2044;;0;899;43,98;1145;56,02;
060;Briefwahlbezirk 060;1;1;8049;2304;28,62;;2300;;4;1019;44,30;1281;55,70;
070;Briefwahlbezirk 070;1;1;6558;1585;24,17;;1585;;0;754;47,57;831;52,43;
080;Briefwahlbezirk 080;1;1;6733;2180;32,38;;2174;;6;815;37,49;1359;62,51;
090;Briefwahlbezirk 090;1;1;6143;2239;36,45;;2233;;6;952;42,63;1281;57,37;
100;Briefwahlbezirk 100;1;1;6777;2642;38,98;;2629;;13;1073;40,81;1556;59,19;
110;Briefwahlbezirk 110;1;1;8049;3449;42,85;;3443;;6;1217;35,35;2226;64,65;
120;Briefwahlbezirk 120;1;1;7866;3863;49,11;;3854;;9;1219;31,63;2635;68,37;
130;Briefwahlbezirk 130;1;1;6299;2248;35,69;;2238;;10;1463;65,37;775;34,63;
140;Briefwahlbezirk 140;1;1;6678;2245;33,62;;2242;;3;1024;45,67;1218;54,33;
150;Briefwahlbezirk 150;1;1;7018;2984;42,52;;2978;;6;1017;34,15;1961;65,85;
160;Briefwahlbezirk 160;1;1;6259;2667;42,61;;2659;;8;786;29,56;1873;70,44;
210;Briefwahlbezirk 210;1;1;6334;3134;49,48;;3134;;0;1469;46,87;1665;53,13;
220;Briefwahlbezirk 220;1;1;8312;4388;52,79;;4384;;4;3076;70,16;1308;29,84;
230;Briefwahlbezirk 230;1;1;9111;4299;47,18;;4296;;3;2602;60,57;1694;39,43;
240;Briefwahlbezirk 240;1;1;7540;3566;47,29;;3560;;6;2574;72,30;986;27,70;
250;Briefwahlbezirk 250;1;1;6192;3336;53,88;;3331;;5;2489;74,72;842;25,28;
260;Briefwahlbezirk 260;1;1;8063;3736;46,34;;3732;;4;2761;73,98;971;26,02;
270;Briefwahlbezirk 270;1;1;8484;3507;41,34;;3502;;5;2560;73,10;942;26,90;
310;Briefwahlbezirk 310;1;1;6585;2083;31,63;;2078;;5;980;47,16;1098;52,84;
320;Briefwahlbezirk 320;1;1;7056;2681;38,00;;2678;;3;1138;42,49;1540;57,51;
330;Briefwahlbezirk 330;1;1;6047;2142;35,42;;2140;;2;761;35,56;1379;64,44;
340;Briefwahlbezirk 340;1;1;8376;3178;37,94;;3167;;11;1286;40,61;1881;59,39;
350;Briefwahlbezirk 350;1;1;8382;2798;33,38;;2793;;5;1066;38,17;1727;61,83;
360;Briefwahlbezirk 360;1;1;9390;3617;38,52;;3611;;6;1372;38,00;2239;62,00;
370;Briefwahlbezirk 370;1;1;8100;2969;36,65;;2969;;0;1026;34,56;1943;65,44;
410;Briefwahlbezirk 410;1;1;8443;3271;38,74;;3265;;6;993;30,41;2272;69,59;
420;Briefwahlbezirk 420;1;1;8962;3398;37,92;;3393;;5;1030;30,36;2363;69,64;
430;Briefwahlbezirk 430;1;1;8012;2841;35,46;;2837;;4;1011;35,64;1826;64,36;
